wosarticle__ti;wosarticle__ab;wosarticle__py;To include;Costs, potentials, side effects;To read
Poly(allylamine)-Mesoporous Silica Composite Materials for CO2 Capture from Simulated Flue Gas or Ambient Air;Low-molecular-weight poly(allylamine) is prepared via free-radical polymerization, and the resulting polymer is impregnated into mesocellular silica foams at different amine loadings. The resulting poly(allylamine)-silica composites are demonstrated as effective adsorbents for the extraction of carbon dioxide from dilute (simulated flue gas) and ultradilute (simulated ambient air) gas streams. The composite adsorbents are shown to have comparable adsorption capacities to more-conventional poly(ethyleneirnine)-silica adsorbents. Potential advantages of poly(allylamine)-derived adsorbents are discussed.;2011;1;0;
Economic and energetic analysis of capturing CO2 from ambient air;"Capturing carbon dioxide from the atmosphere (""air capture"") in an industrial process has been proposed as an option for stabilizing global CO2 concentrations. Published analyses suggest these air capture systems may cost a few hundred dollars per tonne of CO2, making it cost competitive with mainstream CO2 mitigation options like renewable energy, nuclear power, and carbon dioxide capture and storage from large CO2 emitting point sources. We investigate the thermodynamic efficiencies of commercial separation systems as well as trace gas removal systems to better understand and constrain the energy requirements and costs of these air capture systems. Our empirical analyses of operating commercial processes suggest that the energetic and financial costs of capturing CO2 from the air are likely to have been underestimated. Specifically, our analysis of existing gas separation systems suggests that, unless air capture significantly outperforms these systems, it is likely to require more than 400 kJ of work per mole of CO2, requiring it to be powered by CO2-neutral power sources in order to be CO2 negative. We estimate that total system costs of an air capture system will be on the order of $1,000 per tonne of CO2, based on experience with as-built large-scale trace gas removal systems.";2011;1;1;
Carbon Dioxide Capture from the Air Using a Polyamine Based Regenerable Solid Adsorbent;Easy to prepare solid materials based on fumed silica impregnated with polyethylenimine (PEI) were found to be superior adsorbents for the capture of carbon dioxide directly from air. During the initial hours of the experiments, these adsorbents effectively scrubbed all the CO(2) from the air despite its very low concentration. The effect of moisture on the adsorption characteristics and capacity was studied at room temperature. Regenerative ability was also determined in a short series of adsorption/desorption cycles.;2011;1;0;
A review of carbon dioxide capture and utilization by membrane integrated microalgal cultivation processes;The capture of carbon dioxide (CO2) from the air for microalgal cultivation has received increasing interest since it allows advantages that do not only reduce the amount of CO2 already added to the air, but it is also more economical due to the accessibility of air, there are no regeneration requirements and it is a safe method that can help enhance microalgal growth. In order to capture CO2 from the air, it is necessary to deal with CO2 emissions from all sources in an atmosphere. Interestingly, the capture unit and microalgal culture can be located at any favorable site. Although a number of photobioreactors have been proposed with a CO2 distribution system, the consequence of CO2 losses is still being ignored. Thus, capturing CO2 from the air via an integrated separation process in a photobioreactor is required for microalgal cultivation. Among the four available separation technologies, the membrane separation process would offer a safe, reliable and low cost method for CO2 capture. Thus, this method of separation can be considered as a key factor in accelerating the development of a CO2 enrichment process from the air for microalgal cultivation. (C) 2011 Elsevier Ltd. All rights reserved.;2011;1;0;review algae
Feasibility of air capture;"Capturing CO 2 from air, referred to as air capture, is being proposed as a viable climate change mitigation technology. Technically, air capture is not a new technology; industrial applications can be traced back to the 1930s. This paper explores the feasibility of this technology as a climate change mitigation option. Two different pathways of air capture are assessed: direct air capture, which uses a chemical process to capture CO 2, and biomass coupled with CO 2 capture and storage (CCS), which utilizes the biological process of photosynthesis to remove CO 2 from the air. We find that direct air capture has prohibitively high mitigation costs compared to the costs of climate change mitigation options being considered today. The pathway of biomass coupled with CCS has much more reasonable costs and could be used to offset certain emissions. However, the large land requirement may limit the amount of offsets available. We conclude that relying on air capture technology to play a major role in mitigating carbon emissions is a very risky policy decision. © 2011 Published by Elsevier Ltd. © 2011 Published by Elsevier Ltd.";2011;1;1;
Artificial photosynthesis utilizing room temperature ionic liquids;Alternative energy and climate change are among the largest concerns facing scientists and engineers at the start of the twenty-first century. The focus of this research is the design of a system that can efficiently capture atmospheric carbon dioxide and reduce it to CO, a precursor for fuel synthesis. Rather than traditional solvents such as water, sulfuric acid, or acetonitrile, room temperature ionic liquids (RTIL's) will be employed as the solvent for CO 2 capture and reduction. RTIL's have many favorable properties such as extended electrochemical windows, high thermal stability, high electrical conductivity, and a 100+ fold increase in carbon dioxide solubility compared to water. Additionally, the absence of bulk water can increase the efficiency of CO production by eliminating the hydrogen and oxygen evolution reactions. Cyclic voltammetry has shown the catalytic reduction of CO 2 at many transition metal cathode surfaces in imidazolium based ionic liquids such as EMIM BF4. Sum Frequency Generation (SFG) spectroscopy was used in identify reduced species and intermediates on the Pt surface. A CO2 conversion flow cell in series with a GC was used to evaluate the steady state performance of CO2 reduction on various metal cathodes.;2011;1;0;
Clean coal: A new power generation process with high efficiency, carbon capture and zero emissions;An environmentally friendly electricity generation process using coal gasification and solid oxide fuel cells (SOFCs) produces electricity with high efficiency, 99.95% carbon capture and essentially zero atmospheric emissions. Coal is gasified into syngas, cleaned and shifted to hydrogen gas to fuel SOFCs. The primary waste products, CO2 and H2O, are separated with a very small energy penalty. The carbon dioxide purity is high enough to meet most specifications for geological sequestration. Even with carbon capture capability, the power plant has a higher efficiency (4-10 percentage points) than standard pulverized coal or integrated gasification combined cycle processes without carbon capture and consumes significantly less fresh water. If cooling towers are replaced with dry-cooling technology, net water can be produced and recovered, rather than consumed. Moreover, under a cap-and-trade scenario, the process has the lowest cost-of-electricity, even with carbon capture, for carbon prices above $5-10/tonne. © 2010 Elsevier B.V. All rights reserved.;2010;0;0;
Depositional environments being investigated by the national energy technology laboratory (NETL) for potential geologic storage of CO2;A need exists for further research on carbon sequestration technologies to capture and store carbon dioxide (CO2) from stationary sources that would otherwise be emitted to the atmosphere. Carbon Capture and Storage (CCS) technologies have the potential to be a key technology for reducing CO 2 emissions and mitigating global climate change. Deploying these technologies on a commercial-scale will require geologic storage formations capable of (1) sequestering large volumes of CO2, (2) receiving CO2 at an efficient and economic rate of injection, and (3) retaining CO2 safely over extended periods. Eleven major types of depositional environments, each having their own unique opportunities and challenges, are being considered by the U.S. Department of Energy (DOE) for CO2 storage. These different classes of reservoirs include deltaic, coal/shale, fluvial, alluvial, strandplain, turbidite, eolian, lacustrine, clastic shelf, carbonate shallow shelf, and reef. Basaltic interflow zones are also being considered as potential reservoirs. DOE has recently completed a study which investigates the geology, geologic reservoir properties and confining units, and geologic depositional systems of potential reservoirs and how enhanced oil recovery and coal bed methane are currently utilizing CO2. It looks at the classes of geologic formations that have been identified as having the potential to be CO2 reservoirs, their distribution and potential storage volumes. This study also discusses the efforts that DOE is supporting to characterize and test small and large scale injections of CO2 into these different classes of reservoirs. These tests are important to better understand the directional tendencies imposed by the depositional environment that may influence how fluids flow within these systems today, and how CO 2 in geologic sequestration is anticipated to flow in the future. Although diagenesis has modified fluid flow paths during the intervening millions of years since they were deposited, the basic architectural framework created during deposition remains. Geologic processes that are working today also existed when the sediments were initially deposited. Analysis of modem day depositional analogs, evaluation of core samples, outcrops and well logs from ancient subsurface formations give an indication of how formations were deposited and how fluid flow within these formations is anticipated to flow.;2010;0;0;
Exergy analysis of the solar thermochemical cycle for capturing CO2 from air;This paper presents exergy analysis of the novel solar thermochemical cycle for CO2 capture from ambient air. The exergy balance, the degree of the thermodynamic perfection, the influence coefficient and the exergy efficiency are determined for every element of the system. The proposed system has rather low exergy efficiency of 4.8%, mainly owing to the primary purpose of this system to capture CO2 from air and not to produce energy. On the basis of exergetic analysis, possible ways of improving system performance are identified: increasing solar collector efficiency, pre-heating methane flow before the reforming reaction, recovering heat of the slaking process.;2010;1;0;
A Very Inconvenient Truth;Studies conducted after those that contributed to the Intergovernmental Panel on Climate Change (IPCC) Fourth Assessment Report (FAR) suggest that human society may be facing a very inconvenient truth-that emission reduction efforts alone are unlikely to stabilize greenhouse gas concentrations at levels low enough to prevent dangerous anthropogenic interference with the climate system. Here, we discuss reasons why the IPCC process is prone to underestimating the threats of global climate change. We then review some of the critical policy-relevant scientific findings that have emerged since the release of the IPCC FAR. Finally, we discuss how these new findings fundamentally transform the debate on efforts needed to prevent dangerous changes to our climate system. It now appears that to avoid such changes, society will likely need to adopt a mixed strategy of reducing greenhouse gas emissions and employing geoengineering approaches that extract carbon dioxide from the atmosphere and/or reduce the level of incoming solar radiation reaching Earth's surface.;2010;1;1;overall context
Reversible and robust CO2 capture by equimolar task-specific ionic liquid-superbase mixtures;Integrated sorption systems consisting of 1 : 1 mixtures of an alcohol-functionalized ionic liquid and a superbase were found to be effective for CO2 capture under atmospheric pressure, eliminating the use of volatile n-alkanols or water. Conversely, by using the current approach, there is no longer a requirement for maintaining scrupulously dry conditions. The effect of ionic liquid structure, choice of superbase, their relative ratios, the sorption temperature, and the reaction time on the absorption and release of CO2 were investigated. Our results demonstrate that (i) this integrated ionic liquid-superbase system is capable of rapid and reversible capture of nearly one mole of CO2 per mole of superbase, (ii) the captured CO2 can be readily released by either mild heating or bubbling with an insert gas (N-2, Ar), and (iii) this novel CO2 chemisorption platform can be recycled with minimal loss of activity. This efficient and fully reversible catch-and-release process using non-volatile, task-specific ionic liquids provides an excellent alternative to current CO2 capture technologies, which are based largely around volatile alkanols or alkylamines. Furthermore, our integrated ionic liquid-superbase system can be used as a novel medium for supported liquid membranes, for which they demonstrate both good selectivity and permeability in model CO2/N-2 gas separations.;2010;1;0;
Accurate correlation, structural interpretation, and thermochemistry of equilibrium adsorption isotherms of carbon dioxide in zeolite NaX by means of the GSTA model;Zeolite NaX (commonly known as zeolite 13X) has found wide use in industry for the separation of carbon dioxide from air, methane-containing landfill gas, and flue gases. Capture and sequestration of carbon dioxide has become of utmost importance to mitigate severe environmental problems associated to burning of fossil fuels, such as the greenhouse effect and the consequential warming of global climate. Due to its low energy consumption and ease of operation, the zeolite-13X molecular-sieve pressure-swing adsorption process has become the method of choice for the recovery and capture of carbon dioxide from air and flue gas. Accurate correlation of the equilibrium adsorption isotherms of carbon dioxide in zeolite NaX is required for the reliable modeling and simulation of that process. In this paper, we firstly show that none of the traditional adsorption isotherm models (such as those of Langmuir, Sips, Toth, UNILAN, and Dubinin-Astakhov) is entirely capable of correlating a published set of equilibrium adsorption isotherms of carbon dioxide in zeolite NaX that were measured over a range of eight decades of pressure. A generalized statistical thermodynamic adsorption (GSTA) model, which we had already derived and successfully applied to the adsorption of water vapor in zeolite 3A, is employed in this work to obtain a very accurate correlation of that set of adsorption isotherms of carbon dioxide in zeolite NaX, for the pressure range from 0.2 Pa to 6.4 MPa and in the temperature range from -78 to 150 degrees C. We also provide thermochemical and structural interpretations of the isotherms fit and make predictions for the isosteric heat of adsorption that are in excellent agreement with the available experimental data. (C) 2010 Elsevier B.V. All rights reserved.;2010;1;0;
Atmospheric carbon dioxide removal: long-term consequences and commitment;Carbon capture from ambient air has been proposed as a mitigation strategy to counteract anthropogenic climate change. We use an Earth system model to investigate the response of the coupled climate-carbon system to an instantaneous removal of all anthropogenic CO(2) from the atmosphere. In our extreme and idealized simulations, anthropogenic CO(2) emissions are halted and all anthropogenic CO(2) is removed from the atmosphere at year 2050 under the IPCC A2 CO(2) emission scenario when the model-simulated atmospheric CO(2) reaches 511 ppm and surface temperature reaches 1.8 degrees C above the pre-industrial level. In our simulations a one-time removal of all anthropogenic CO(2) in the atmosphere reduces surface air temperature by 0.8 degrees C within a few years, but 1 degrees C surface warming above pre-industrial levels lasts for several centuries. In other words, a one-time removal of 100% excess CO(2) from the atmosphere offsets less than 50% of the warming experienced at the time of removal. To maintain atmospheric CO(2) and temperature at low levels, not only does anthropogenic CO(2) in the atmosphere need to be removed, but anthropogenic CO(2) stored in the ocean and land needs to be removed as well when it outgasses to the atmosphere. In our simulation to maintain atmospheric CO(2) concentrations at pre-industrial levels for centuries, an additional amount of CO(2) equal to the original CO(2) captured would need to be removed over the subsequent 80 years.;2010;1;1;
Sorbents for CO2 capture from flue gas-aspects from materials and theoretical chemistry;Predictions of future climate change have triggered a search for ways to reduce the release of greenhouse gases into the atmosphere. Carbon capture and storage (CCS) assists this goal by reducing carbon dioxide emissions, and CO2 adsorbents in particular can reduce the costs of CO2 capture. Here, we review the nanoscale sorbent materials that have been developed and the theoretical basis for their function in CO2 separation, particularly from N-2- rich flue gases.;2010;0;0;
Performance Test of an Inertial Fibrous Filter for Ultrafine ParticleCollection and the Possible Sulfate Loss when Using an AluminumSubstrate with Ultrasonic Extraction of Ionic Compounds;"A sampler using inertial fibrous filters (INF) has been recently developed for ultrafine particle collection by impaction and filtration. This new sampler has a low pressure drop (20-30 kPa) and can separate particles smaller than 0.1 mu m with a high sampling flow rate (40 L/min). In this study, sampling performance of the INF sampler was evaluated in comparison with a reference sampler in the field as well as in the laboratory and the possible sulfate ion loss when using aluminum substrates for ion extraction in ultrasonic bath was discovered and investigated. When sampling ultrafine particles (Dp <= 0.1 mu m) such as carbonaceous and ionic species both in the field and in the laboratory, the performance of the INF sampler was similar to that of a reference sampler despite differences of sampling mechanism, cut-point diameter, and substrate proving that the INF sampler can be an alternative for ultrafine particle collection. Underestimation of sulfate concentration appeared to be unavoidable in ultrasonic extractions from aluminum substrates regardless of whether the extraction time was 30 or 90 min. The average sulfate loss during aluminum filter extraction was 45% (+/- 12%; min: 12%; max: 94%). Therefore, ultrasonic extraction from aluminum filters should be avoided to obtain unbiased measurements of sulfate concentration in ambient air or other ion extraction methods should be considered to minimize sulfate loss (dissolution of aluminum ions) from aluminum filters with sufficient extraction efficiency of ionic species.The results of this study indicate that the performance of the INF sampler is almost similar to that of the nano-MOUDI sampler for ultrafine particle collection, while advantageous in terms of convenience, and analysis. Furthermore, the INF sampler can collect amounts of ultrafine particles that are sufficient for chemical analysis in a relatively short time, and the particles can be uniformly collected with a quartz fiber filter.";2010;0;0;
Equimolar CO2 capture by imidazolium-based ionic liquids and superbase systems;Imidazolium-based ionic liquids continue to attract interest in many areas of chemistry because of their low melting points, relatively low viscosities, ease of synthesis, and good stabilities against oxidative and reductive conditions. However, they are not totally inert under many conditions due to the intrinsic acidity of hydrogen at the C-2 position in the imidazolium cation. In this work, this intrinsic acidity was exploited in combination with an organic superbase for the capture of CO2 under atmospheric pressure. During the absorption of CO2, the imidazolium-based ionic liquid containing an equimolar superbase reacted with CO2 to form a liquid carboxylate salt so that the equimolar capture of CO2 with respect to the base was achieved. The effects of ionic liquid structures, types of organic superbases, absorption times, and reaction temperatures on the capture of CO2 were investigated. Our results show that this integrated ionic liquid-superbase system is capable of rapid and reversible capture of about 1 mol CO2 per mole of ionic liquid. Furthermore, the captured CO2 can be readily released by either heating or bubbling N-2, and recycled with little loss of its capture capability. This efficient and reversible catch-and-release process using the weak acidity of the C-2 proton in nonvolatile imidazolium-based ionic liquids provides a good alternative to the current CO2 capture methods that use volatile alkanols, amines, or water.;2010;1;0;
Low energy packed tower and caustic recovery for direct capture of CO2 from air;We used a 6.5 m tall packed tower prototype to study the capturing rate of CO2 from air. The tower was operated at a pressure drop of less than 27 pa in the packing at 0.7 m/sec air speed with a counter current flow mode and with NaOH or KOH solution as the absorbent. The tower consumed an average of ∼30 kJe per mole CO2. We found that via an intermittent operation with a 5% duty cycle, the fluid pumping work reduced by 90%. A novel process for removing carbonates ions from alkaline solutions based on titanate compounds is compared to the traditional lime cycle for the caustic recovery. The titanate process reduces the high-grade heat requirement by ∼50%. The results from experimental data of leaching and precipitation test support process design of the titanate cycle. In this paper, we also present the chemical process design. © 2009 Elsevier Ltd. All rights reserved.;2009;1;0;
The Oxy-combustion burner development for the CO2 pilot at Lacq;Steam demand is increasing for Oil & Gas projects, and in particular oil sands and extra-heavy oils thermal recovery schemes. Use of oil residues and bitumen can be a cost-effective solution for natural gas substitution in SAGD (Steam Assisted Gravity Drainage). However, use of such fuels gives rise to higher specific GHG emissions. Oxy-combustion technology is an elegant solution to this problem since oxygen allows complete combustion of very high viscosity and heavy fuels, and because it provides a concentrated CO2 stream, for easier Carbon Capture and Storage (CCS). Air Liquide has acquired over the last two decades extensive industrial experience of full oxy-combustion for the glass, metals, cement and waste treatment industries. This expertise and extensive scientific knowledge have been used to develop an innovative oxy-burner technology, specific to steam and power production applications. This oxy-burner technology presents novel and differentiating features, which will be described in this paper. In particular, it features a direct oxygen injection into the burner, without external mixing of oxygen with the flue gas recycle, which provides additional flue gas recycle rate flexibility, and enables a safe handling of the oxygen. Air Liquide has demonstrated the performance of this oxy-burner concept through downscaled (1 MW) oxy- combustion tests in a dedicated cold-wall test-rig with flue gas recycle. Total will retrofit the air-fired boiler at its Lacq CO2 Project (SW of France) with an intermediate size of this oxy- burner technology (four 8 MW oxy-burners). The paper presents: •the innovative oxy-burner technology, its challenges and novelties,•a description of the Air Liquide 1 MW oxy-combustion test rig and the test results obtained over a wide range of flue gas recycle rates,•the integration of the oxy-combustion system into Total's existing 30 MWth boiler. © 2009 Elsevier Ltd. All rights reserved.;2009;0;0;
Climate change: Is there a Plan B?;"According to the UK's Royal Society (RS), the world may have to fall back on little-understood and potentially dangerous ""geoengineering"" techniques to stem global warming if December 2009's climate-change talks fail. An RS study, Geoengineering the climate: Science, governance and uncertainty, says unless future measures to cut greenhouse-gas emissions are much more successful than those taken so far, some little-tested forms of more radical intervention may be needed in the longer term. The most promising of these are Carbon Dioxide Removal (CDR) and Solar Radiation Management. CDR could take 3 main forms, i.e., capturing CO2 from the ambient air; enhanced weathering, which uses chemical reactions involved in rock weathering to reduce CO2 levels in the air; and increased afforestation to enable more CO2 to be absorbed by vegetation. However, the first two techniques have yet to be shown to be practical or cost effective, while afforestation would create land-use conflicts. The society also investigated ideas such as shields in space to deflect the sun's rays, but said they would be prohibitively expensive at the moment. Meanwhile, China and other developing nations remain reluctant to agree to pay for big cuts in their own emissions to deal with a problem they regard as having been caused mainly by the West.";2009;1;1;
Carbon capture and storage;Carbon dioxide capture and storage (CCS) is a technology aimed at reducing greenhouse gas emissions from burning fossil fuels during industrial and energy-related processes. CCS involves the capture, transport and long-term storage of carbon dioxide, usually in geological reservoirs deep underground that would otherwise be released to the atmosphere. Carbon dioxide capture and storage offers important possibilities for making further use of fossil fuels more compatible with climate change mitigation policies. The largest volumes of CO2 could be captured from large point sources such as from power generation, which alone accounts for about 40 per cent of total anthropogenic CO2 emissions. The development of capture technologies in the power generation sector could be particularly important in view of the projected increase in demand for electricity in fast developing countries with enormous coal reserves (IEA 2002a). Although, this prospect is promising, more research is needed to overcome several hurdles such as important costs of capture technology and the match of large capture sources with adequate geological storage sites. The book will provide a comprehensive, detailed but non-specialist overview of the wide range of technologies involved in carbon dioxide capture and sequestration. © 2010 Elsevier Inc. All rights reserved.;2009;0;0;
CO2 capture from atmospheric air via consecutive CaO-carbonation and CaCO3-calcination cycles in a fluidized-bed solar reactor;A thermochemical cyclic process and associated reactor is presented for the continuous removal of CO2 from ambient air via consecutive CaO-carbonation and CaCO3-calcination steps using concentrated solar energy as the source of high-temperature process heat. A fluidized-bed solar reactor is applied to accomplish the carbonation at 365-400 degrees C and the calcination at 800-875 degrees C, with reacting particles directly exposed to high-flux solar irradiation. Water vapor was introduced during the carbonation step to enhance its kinetics. Five consecutive cycles were performed, yielding complete removal of CO2 from a continuous airflow containing 500 ppm of CO2 within a residence time of 1.3 s during each carbonation step, and subsequent complete release of CO2 and regeneration of the CaO reacting particles during the calcination step. The reactor design, set-Lip, and experimentation using a high-flux solar simulator are described. (C) 2008 Elsevier B.V. All rights reserved.;2009;1;0;
The impact of carbon capture and storage on climate;Carbon capture and storage (CCS) is being widely discussed as a possible mitigation option for limiting the emissions of carbon dioxide (CO2) from fossil fuel burning power plants. The implementation of CCS requires the resolution of a number of difficult policy, engineering and economic issues. Here we address the efficacy of CCS from the perspective of climate science. Implementation of CCS makes power stations less efficient, in the sense that they produce more CO2 for a given output of electricity, a feature which is characterised by the so-called energy penalty. The captured CO2 is then stored in, for example, geological storage reservoirs, from which some small fraction is expected to leak back into the atmosphere each year.We use a set of relatively simple models of carbon capture, the atmospheric carbon cycle and climate, to quantify, for a range of CCS engineering and implementation parameters, the amount of leakage from these reservoirs that can be tolerated to ensure that CCS leads to less, rather than more, climate change. We demonstrate that up to the year 2100, for almost all the parameters that we consider, application of CCS is beneficial. However, in some cases the benefit might be small. We also consider a much longer time horizon (out to the year 2500). We find that while many parameter combinations still lead to a benefit, there are some cases for which application of CCS leads to greater warming than had it not been applied at all. The largest single controlling factor is seen to be the storage reservoir retention time. Many previous studies focused on the use of those storage reservoirs with very long retention times, but we demonstrate that the use of less resilient reservoirs might also provide a climate benefit during the 100 to 500 year time horizon. The largest absolute benefits of CCS to global temperature are found for high future emission scenarios. These absolute benefits also increase as the climate sensitivity of the model is increased.;2009;0;0;
Bio-Ethanol Based Ethylene;The use of bioethanol-based ethylene as raw material for chemical products, especially to produce polyethylene and other polymers, is being considered an effective way to capture carbon dioxide from the atmosphere and offer to the market an alternative of a commodity plastic with a wide range of applications and a low carbon footprint. The present article discloses the aspects relatives to the ethanol manufacture in Brazil using sugarcane as feedstock, the catalytic dehydration reaction, the plants operated in the past with this technology and the main characteristics of the processes.;2009;0;0;
An idealized assessment of the economics of air capture of carbon dioxide in mitigation policy;This paper discusses the technology of direct capture of carbon dioxide from the atmosphere called air capture. It develops a simple arithmetic description of the magnitude of the challenge of stabilizing atmospheric concentrations of carbon dioxide as a cumulative allocation over the 21st century. This approach, consistent with and based on the work of the intergovernmental Panel on Climate Change (IPCC), sets the stage for an analysis of the average costs of air capture over the 21st century under the assumption that technologies available today are used to fully offset net human emissions of carbon dioxide. The simple assessment finds that even at a relatively high cost per ton of carbon, the costs of air capture are directly comparable to the costs of stabilization using other means as presented by recent reports of the IPCC and the Stern Review Report. (C) 2009 Elsevier Ltd. All rights reserved.;2009;1;1;
Carbon capture and storage: pulling down the barriers in the European Union;Carbon capture and storage (CCS) is one of the number of approaches to mitigating climate change by reducing the emission of greenhouse gases (GHGs) into the atmosphere. It involves capturing carbon dioxide (CO(2)) emissions from large point sources such as power plants, prior to compressing, transporting, and storing it securely in geological formations. The CO(2) emitted is thus prevented from entering the atmosphere. CCS is believed, by many, to have massive potential to significantly reduce GHG emissions, with the UN's Intergovernmental Panel on Climate Change suggesting that CCS could contribute between 10 and 55 per cent of the world's total carbon mitigation effort until 2100.This article considers the principal impediments to the development of CCS projects and the steps taken in the European Union (EU) to overcome them. The development of CCS requires not only the establishment of adequate funding mechanisms and, most likely, the existence of consistently higher carbon prices than those prevail today, but also the settlement of a number of key legal issues. Although much further work is required on the part of legislators, a regulatory framework for CCS is slowly growing in various jurisdictions, especially in the EU where a large step forward was taken in December 2008 with the passing of a CCS Directive.;2009;0;0;
Low-energy sodium hydroxide recovery for CO2 capture from atmospheric air-Thermodynamic analysis;"To reduce the risks of climate change, atmospheric concentrations of greenhouse gases must be lowered. Direct capture Of CO2 from ambient air, ""air capture"", might be one of the few methods capable of systematically managing dispersed emissions. The most commonly proposed method for air capture is a wet scrubbing technique which absorbs CO2 in an alkaline absorbent, i.e. sodium hydroxide producing an aqueous solution of sodium hydroxide and sodium carbonate. In most of the previous works it was assumed that the absorbent would be regenerated and CO2 liberated from the alkaline carbonate solution using a lime and calcium carbonate causticization cycle.We describe a novel technique for recovering sodium hydroxide from an aqueous alkaline solution of sodium carbonate and present an end-to-end energy and exergy analysis. In the first step of the recovery process, anhydrous sodium carbonate is separated from the concentrated sodium hydroxide solution using a two-step precipitation and crystallization process. The anhydrous sodium carbonate is then causticized using sodium tri-titanate. The titanate direct causticization process has been of interest for the pulp and paper industry and has been tested at lab- and pilot-scale. In the causticization process, sodium hydroxide is regenerated and carbon dioxide is liberated as a pure stream, which is compressed for use or disposal. The technique requires similar to 50% less high-grade heat than conventional causticization and the maximum temperature required is reduced by at least 50 degrees C. This titanate cycle may allow a substantial reduction in the overall cost of direct air capture. (C) 2009 Elsevier Ltd. All rights reserved.";2009;1;0;
Capture of carbon dioxide from ambient air;Carbon dioxide capture from ambient air could compensate for all carbon dioxide emissions to the atmosphere. Such capture would, for example, make it possible to use liquid, carbon-based fuels in cars or airplanes without negatively impacting the climate. We present a specific approach based on a solid sorbent in the form of an anionic exchange resin, that absorbs carbon dioxide when dry and releases it when exposed to moisture. We outline a particular implementation of such a moisture swing and discuss the scale of the collectors, the energy consumption, and the indirect carbon dioxide emissions related to the operation of carbon dioxide capture devices.;2009;1;0;
Why Capture CO2 from the Atmosphere?;"Air capture is an industrial process for capturing CO2 from ambient air; it is one of an emerging set of technologies for CO2 removal that includes geological storage of biotic carbon and the acceleration of geochemical weathering. Although air capture will cost more than capture from power plants when both are operated under the same economic conditions, air capture allows one to apply industrial economies of scale to small and mobile emission sources and enables a partial decoupling of carbon capture from the energy infrastructure, advantages that may compensate for the intrinsic difficulty of capturing carbon from the air.";2009;1;1;
Carbon fibre composite for ventilation air methane (VAM) capture;Coal mine methane (CMM) is not only a hazardous greenhouse gas but is also a wasted energy resource, if not utilised. This paper evaluates a novel adsorbent material developed for capturing methane from ventilation air methane (VAM) gas in underground coal mines. The adsorbent material is a honeycomb monolithic carbon fibre composite (HMCFC) consisting of multiple parallel flow-through channels and the material exhibits unique features including low pressure drop, good mechanical properties. ability to handle dust-containing gas streams. good thermal and electrical conductivity and selective adsorption of gases. During this study, a series of HMCFC adsorbents (using different types of carbon fibres) were successfully fabricated. Experimental data demonstrated the proof-of-concept of using the HMCFC adsorbent to capture methane from VAM gas. The adsorption capacity of the HMCFC adsorbent was twice that of commercial activated carbon. Methane concentration of 0.56% in the inlet VAM gas stream is reduced to about 0.011% after it passes through the novel carbon fibre composite adsorbent material at ambient temperature and atmospheric pressure. This amounts to a maximum capture efficiency of 98%. These encouraging laboratory scale studies have prompted further large scale trials and economic assessment. (C) 2009 Elsevier B.V. All rights reserved.;2009;0;0;
CO2 capture from air via CaO-carbonation using a solar-driven fluidized bed reactor-Effect of temperature and water vapor concentration;A two-step thermochemical cyclic process to capture CO2 from atmospheric air via consecutive CaO-carbonation CaCO3-calcination reactions is investigated using concentrated solar energy. A kinetic analysis of the carbonation of CaO with dry and moist air containing 500 ppm CO2 is performed in a fluidized bed solar reactor with particles directly exposed to high-flux thermal irradiation. The CO2 removal capacity was examined in the temperature range 290-390 degrees C and water vapor concentration range 0-17%. Complete CO2 removal was achieved from a continuous flow of moist air at 390 degrees C and residence times of less than 1.5 s, while the extent of CaO-carbonation was almost doubled by the addition of water vapor. Kinetic models that account for consecutive chemically and diffusion-controlled regimes were applied to describe the carbonation rate with dry air, limited initially through interface reactions and later through reactant penetration across the layer of CaCO3 until reaching the unreacted core. In contrast, a chemically-controlled rate law was applied to describe the augmented carbonation rate with moist air, which proceeded through the formation of an interface of water and/or OH ions at the solid surface not covered by CaCO3. The corresponding reaction orders and Arrhenius rate constants were determined by fitting to the experimental data. (C) 2009 Elsevier B.V. All rights reserved.;2009;1;0;
